ZBTB12;2.3.3.11.3
ZBTB26;2.3.3.11.2
ZBTB6;2.3.3.11.1
PRDM1;2.3.3.12.1
ZNF683;2.3.3.12.2
ZNF148;2.3.3.13.1
ZNF281;2.3.3.13.2
ZBTB20;2.3.3.14.1
ZBTB45;2.3.3.14.2
ZNF524;2.3.3.15.1
ZNF581;2.3.3.15.2
ZBTB42;2.3.3.16.2
ZNF238;2.3.3.16.1
OVOL1;2.3.3.17.1
OVOL2;2.3.3.17.2
ZNF138;2.3.3.18.3
ZNF141;2.3.3.0.110
ZNF506;2.3.3.0.64
ZNF56;2.3.3.18.1
ZNF595;2.3.3.77.1
ZNF679;2.3.3.32.1
ZNF682;2.3.3.0.109
ZNF876P;2.3.3.18.2
ZKSCAN2;2.3.3.19.3
ZNF434;2.3.3.19.5
ZNF500;2.3.3.19.1
ZNF853;2.3.3.19.2
ZSCAN29;2.3.3.19.4
GLI1;2.3.3.1.1
GLI2;2.3.3.1.2
GLI3;2.3.3.1.3
GLIS1;2.3.3.1.4
GLIS2;2.3.3.1.5
GLIS3;2.3.3.1.6
ZIC1;2.3.3.1.7
ZIC2;2.3.3.1.8
ZIC3;2.3.3.1.9
ZIC4;2.3.3.1.10
ZIC5;2.3.3.1.11
FEZF1;2.3.3.20.1
FEZF2;2.3.3.20.2
GFI1B;2.3.3.21.2
GFI1;2.3.3.21.1
BCL6B;2.3.3.22.1
BCL6;2.3.3.22.2
ZNF212;2.3.3.23.1
ZNF777;2.3.3.23.2
MTF1;2.3.3.24.1
ZNF410;2.3.3.24.2
PLAG1;2.3.3.25.2
PLAGL1;2.3.3.25.3
PLAGL2;2.3.3.25.1
ZKSCAN3;2.3.3.26.1
ZKSCAN4;2.3.3.26.2
ZNF468;2.3.3.27.4
ZNF525;2.3.3.27.1
ZNF701;2.3.3.27.2
ZNF765;2.3.3.27.3
ZNF143;2.3.3.28.2
ZNF76;2.3.3.28.1
ZBTB47;2.3.3.29.2
ZNF652;2.3.3.29.1
SCRT1;2.3.3.2.4
SCRT2;2.3.3.2.5
SNAI1;2.3.3.2.1
SNAI2;2.3.3.2.2
SNAI3;2.3.3.2.3
ZNF350;2.3.3.30.1
ZNF577;2.3.3.30.2
ZNF613;2.3.3.30.4
ZNF614;2.3.3.30.5
ZNF649;2.3.3.30.3
ZNF570;2.3.3.31.3
ZNF583;2.3.3.31.4
ZNF642;2.3.3.31.1
ZNF643;2.3.3.31.2
ZNF735;2.3.3.32.2
ZNF121;2.3.3.0.112
ZNF124;2.3.3.33.6
ZNF136;2.3.3.33.15
ZNF20;2.3.3.33.17
ZNF439;2.3.3.33.8
ZNF440;2.3.3.33.9
ZNF490;2.3.3.33.11
ZNF555;2.3.3.33.19
ZNF563;2.3.3.33.12
ZNF564;2.3.3.33.16
ZNF57;2.3.3.33.13
ZNF625;2.3.3.33.3
ZNF627;2.3.3.33.7
ZNF669;2.3.3.33.4
ZNF670;2.3.3.33.5
ZNF69;2.3.3.33.14
ZNF763;2.3.3.33.1
ZNF77;2.3.3.33.10
ZNF844;2.3.3.33.2
ZNF878;2.3.3.33.18
ZNF397;2.3.3.34.2
ZNF3;2.3.3.34.1
ZNF383;2.3.3.35.5
ZNF471;2.3.3.0.191
ZNF565;2.3.3.0.146
ZNF566;2.3.3.35.3
ZNF582;2.3.3.35.7
ZNF619;2.3.3.35.4
ZNF620;2.3.3.35.1
ZNF621;2.3.3.35.2
ZNF829;2.3.3.35.6
ZNF324A;2.3.3.36.1
ZNF324B;2.3.3.36.2
ZNF362;2.3.3.37.1
ZNF384;2.3.3.37.2
ZNF282;2.3.3.38.1
ZNF398;2.3.3.38.2
ZNF764;2.3.3.39.1
ZNF771;2.3.3.39.3
ZNF785;2.3.3.39.2
ZFP91;2.3.3.3.1
ZNF276;2.3.3.3.3
ZNF653;2.3.3.3.4
ZNF692;2.3.3.3.2
ZNF177;2.3.3.40.1
ZNF333;2.3.3.40.3
ZNF891;2.3.3.40.2
ZIK1;2.3.3.41.2
ZNF32;2.3.3.41.1
ZNF419B;2.3.3.42.2
ZNF773;2.3.3.42.1
ZNF557;2.3.3.43.2
ZNF558;2.3.3.43.1
ZNF140;2.3.3.44.4
ZNF181;2.3.3.44.3
ZNF2;2.3.3.44.2
ZNF302;2.3.3.44.1
ZNF559;2.3.3.45.4
ZNF561;2.3.3.45.3
ZNF562;2.3.3.45.1
ZNF812;2.3.3.45.2
ZNF846;2.3.3.45.5
ZXDA;2.3.3.46.1
ZXDB;2.3.3.46.2
ZXDC;2.3.3.46.3
ZNF155;2.3.3.47.4
ZNF221;2.3.3.47.5
ZNF222;2.3.3.47.1
ZNF223;2.3.3.47.2
ZNF224;2.3.3.47.6
ZNF225;2.3.3.47.7
ZNF226;2.3.3.47.13
ZNF227;2.3.3.47.12
ZNF229;2.3.3.47.11
ZNF230;2.3.3.47.3
ZNF234;2.3.3.47.14
ZNF235;2.3.3.47.9
ZNF284;2.3.3.47.8
ZNF45;2.3.3.47.10
ZNF727;2.3.3.48.2
ZNF736;2.3.3.48.1
ZNF286A;2.3.3.49.1
ZNF286B;2.3.3.49.2
POGZ;2.3.3.4.5
ZNF280A;2.3.3.4.1
ZNF280B;2.3.3.4.2
ZNF280C;2.3.3.4.3
ZNF280D;2.3.3.4.4
CTCFL;2.3.3.50.2
CTCF;2.3.3.50.1
ZNF366;2.3.3.51.1
ZNF710;2.3.3.51.2
ZNF322A;2.3.3.52.1
ZNF17;2.3.3.0.205
ZNF548;2.3.3.53.1
ZNF776;2.3.3.53.2
ZNF264;2.3.3.54.2
ZNF460;2.3.3.54.1
ZNF543;2.3.3.54.4
ZNF599;2.3.3.54.5
ZNF805;2.3.3.54.3
ZNF146;2.3.3.55.1
ZNF260;2.3.3.55.2
ZNF214;2.3.3.56.1
ZNF233;2.3.3.56.3
ZNF285;2.3.3.56.2
ZNF479;2.3.3.57.1
ZNF180;2.3.3.58.1
ZNF436;2.3.3.58.3
ZNF544;2.3.3.58.2
ZNF572;2.3.3.58.4
ZNF774;2.3.3.58.5
ZSCAN2;2.3.3.58.6
ZNF100;2.3.3.59.1
ZNF430;2.3.3.59.2
ZNF431;2.3.3.59.3
ZNF675;2.3.3.59.6
ZNF714;2.3.3.59.5
ZNF730;2.3.3.59.4
ZSCAN4;2.3.3.5.5
ZSCAN5A;2.3.3.5.1
ZSCAN5;2.3.3.5.1
